Whse,Item Code,Item Description,On Hand,On Cons,Total
060,062750-900,"Nedo Plug Crank Complete 1/4"" hex bolt with Magnet for Shaft Tripod 210710",0.0000,0.0000,0.00
060,062831-900,Nedo Tripod Sleeve Set Carbon Line Tripod,2.0000,0.0000,2.00
060,062833,Nedo Tripod Leg Spare Part for 200700,0.0000,0.0000,0.00
060,062836-900-S,Nedo Combi Tripod Feet single for 200700,2.0000,0.0000,2.00
060,08206962,Tamaya Planix 7 Digital Planimeter**,0.0000,0.0000,0.00
060,08206964,Tamaya Planix 10S Digital Planimeter **,0.0000,0.0000,0.00
060,08207000,Tamaya Planix EX Digital Planimeter**,0.0000,0.0000,0.00
060,08207542,GPS RADIO AERIAL BRACKET **,0.0000,0.0000,0.00
060,0825-AUS,Kestrel 2500 Weather Meter,0.0000,0.0000,0.00
060,0835-AUS,Kestrel 3500 Weather Meter ** Use KESTREL-3550AG **,0.0000,0.0000,0.00
060,0852HVG-LOF,Kestrel 5200 Weather Meter,0.0000,0.0000,0.00
060,0852LHVG-LOF,Kestrel 5200 Weather Meter with LiNK,0.0000,0.0000,0.00
060,0854ORA,Kestrel 5400 Heat Stress WBGT Meter,0.0000,0.0000,0.00
060,091551,Myzox ALG-55 5m/5 E-Face Staff with Cover ** Refer to MYX221361,0.0000,0.0000,0.00
060,091580,Myzox SUM-53E 5m / 3 Sections E-Face Wide Staff,0.0000,0.0000,0.00
060,091597,Myzox SUM-33E 3m/3 E-Face Staff with Cover ** Replaced with MYX221362**,0.0000,0.0000,0.00
060,1.200.03.00004,"Vivax Metrotech 5"" Clamp for vLoc3 & VM-550",3.0000,0.0000,3.00
060,1.200.03.00006,"Vivax 18"" Flexible Induction Clamp",0.0000,0.0000,0.00
060,1.200.03.00011,"Vivax 2"" induction clamp",0.0000,0.0000,0.00
060,1.200.03.00012,"Vivax Metrotech 4"" Clamp for VM-550",0.0000,0.0000,0.00
060,1.203.17.00001,Vivax Metrotech D38 33kHz Sonde,0.0000,0.0000,0.00
060,1.204.01.00003,Vivax Metrotech vLoc Pro2 Receiver,0.0000,0.0000,0.00
060,1.204.03.00001,"Vivax Metrotech Analog A-Frame Fault and Holiday Locator with Bag and Lead, vLoc2 Series *",0.0000,0.0000,0.00
060,1.204.07.00002,Vivax Metrotech Live Plug Connector,0.0000,0.0000,0.00
060,1.204.07.00004,Vivax Metrotech Live Plug Connector,0.0000,0.0000,0.00
060,1.204.08.00001,Vivax Metrotech Clamp Extension Rod,0.0000,0.0000,0.00
060,1.217.02.00003,Vivax Metrotech Loc-10SiS Transmitter,0.0000,0.0000,0.00
060,1.219.01.00014,Vivax vLoc3-Pro Receiver plus softbag,0.0000,0.0000,0.00
060,1.219.01.00016,Vivax Metrotech vLoc3-Pro Rx With Tx Link,0.0000,0.0000,0.00
060,1.219.02.00002,Vivax vLoc3 10-Watt Transmitter,0.0000,0.0000,0.00
060,1.219.02.00029,Vivax Metrotech Loc3-10SiS Transmitter,0.0000,0.0000,0.00
060,1.219.02.00030,"Vivax Metrotech Loc3-SiS Transmitter, Config K04 Tx-L-AU",0.0000,0.0000,0.00
060,1.219.04.00001,Vivax A-frame vLoc3 Series,0.0000,0.0000,0.00
060,1.219.05.00003,Vivax vLoc3 5-Watt Transmitter,0.0000,0.0000,0.00
060,1.220.02.00003,Vivax Metrotech vLoc3-MLA Marker Locator Adapter,1.0000,0.0000,1.00
060,1.222.04.00001,"Vivax 5"" Clamp (New Style)",1.0000,0.0000,1.00
060,1.224.01.00007,Vivax Metrotech vLoc3-5000 Receiver,0.0000,0.0000,0.00
060,1.225.01.00001,Vivax Metrotech vLoc3-Cam Sonde Locator (No Bag),0.0000,0.0000,0.00
060,102787,Radio Antenna 2.4GHZ TNC/R **,0.0000,0.0000,0.00
060,103-GW-L,Magnetic Rail Shoe use 4700999 **,0.0000,0.0000,0.00
060,10630171149,SENSOR SPEED 7 1/2FT WHEEL DR **,0.0000,0.0000,0.00
060,10630171183,Raven Console Assembly 440 Serial Interface**,0.0000,0.0000,0.00
060,10630171220,SCS 450 CONSOLE (6BOOM),0.0000,0.0000,0.00
060,10630171669,SENSOR EXTERNAL FLOWMETER,0.0000,0.0000,0.00
060,10630171793,FLOWMETER RFM-60P,0.0000,0.0000,0.00
060,10630171894,VALVE ASSY 1 1/2 90 DEG FLANG,0.0000,0.0000,0.00
060,10630171926,VALVE SINGLE MANIFOLD,0.0000,0.0000,0.00
060,10630172330,Raven Motor Assembly Manifold Valve,0.0000,0.0000,0.00
060,10630172369,TERMINATOR CAN PASSIVE,0.0000,0.0000,0.00
060,10630172470,Raven SWITCH ASSEMBLY SMARTRAX ENABL,0.0000,0.0000,0.00
060,10630172563,Console SCS450 ** -> 10630171220,0.0000,0.0000,0.00
060,10630172602,Raven CAN DIAGNOSTIC TOOL,0.0000,0.0000,0.00
060,10630172870,SINGLE MANIFOLD VALVE,0.0000,0.0000,0.00
060,10AS-08D2S-U,ASUS SDRW-08D2S-U Lite Black External,0.0000,0.0000,0.00
060,1100-C-O,"OMNI 2"" 62mm Prism in Canister w/Copper Coating",0.0000,0.0000,0.00
060,11030159011,Raven Mount VAC Ram with Diamond BALL BAS**,0.0000,0.0000,0.00
060,1105002,Hasselblad Stellar Camera - Mahogany,0.0000,0.0000,0.00
060,1105007,Hasselblad Stellar Camera - Walnut Wood,0.0000,0.0000,0.00
060,111-200501,UHF 3DB GAIN WHIP ELEMENT **,0.0000,0.0000,0.00
060,111-400115,UHF HIGH POWERED BASE **,0.0000,0.0000,0.00
060,111-F115RC,FREEWAVE FGR-115RC DATA RADIO **,0.0000,0.0000,0.00
060,111114,Myzox SA-60 Circular Level Bubble for ALG Staff,0.0000,0.0000,0.00
060,111115,Myzox SB-60 Circular Level Bubble for ALM / SUM Staff,2.0000,0.0000,2.00
060,11150159856,CABLE 12 EXT 7BM 440/450 WVLV,0.0000,0.0000,0.00
060,11150171085,CABLE 10 CONS 7BM SCS 440/450,0.0000,0.0000,0.00
060,11150171129,CABLE 12 FLO CONT 6BM BM VLVE* *,0.0000,0.0000,0.00
060,11150171152,PRESSURE SENSOR CABLE 12ft,0.0000,0.0000,0.00
060,11150171224,Cable Press XDRC Sensor 444' Ext,0.0000,0.0000,0.00
060,11150171235,CABLE PRESS TRANSDUCER 72 LG,0.0000,0.0000,0.00
060,11150171670,Raven CABLE SPD ADAPT JD 30 SERIES,0.0000,0.0000,0.00
060,11150172001,CABLE VIPER PRO/ENVIZIO PRO II,0.0000,0.0000,0.00
060,11150172023,CBL ADPT VIPER 4 TO VPRO CBLIN,0.0000,0.0000,0.00
060,11150172029,CBL CAN ADPT DB9 TO DEUTSCH 4P,0.0000,0.0000,0.00
060,11154001085,CABLE POWER GENERIC CROP TRACT **,0.0000,0.0000,0.00
060,11170159924,Raven SCS 4400 Console,0.0000,0.0000,0.00
060,11170171249,Raven Cruizer II with Helix Antenna Kit,0.0000,0.0000,0.00
060,11170171360,KIT FAST VLV MTR W/ADPT 4PIN,0.0000,0.0000,0.00
060,11170171426,Raven Cruizer II with Helix MBA-3 GLONASS Antenna**,0.0000,0.0000,0.00
060,11170171464,Raven CAN Service Tool,0.0000,0.0000,0.00
060,11170171517,KIT FLD HUB WIFI HSPA CELLULAR,0.0000,0.0000,0.00
060,11175010002,Raven Kit Envizio Pro W/P GPS,0.0000,0.0000,0.00
060,11175010007,Raven KIT ENVIZIO PRO XL**,0.0000,0.0000,0.00
060,11175010009W,Raven Kit Envizio Pro II Scalable GP,0.0000,0.0000,0.00
060,11175010010B,Raven Viper 4+ Kit without GPS,0.0000,0.0000,0.00
060,11175030018,Raven Simulator Steering,0.0000,0.0000,0.00
060,11175030020,Raven Kit Controller SMARTRAX MD**,0.0000,0.0000,0.00
060,11175030050,JOHN DEERE STS 50/60/70 SER,0.0000,0.0000,0.00
060,11175032004,KIT SMRTRX STGR STX NH TJ,0.0000,0.0000,0.00
060,11175032024,Raven CaseIH x010/x120/x230 SRK RTK,0.0000,0.0000,0.00
060,114SCANSTICK10,Scan Sticker 4.5” Target - Pack of 10 (Numbered 101-110),0.0000,0.0000,0.00
060,114SCANSTICK100,Scan Sticker 4.5” Target - Pack of 100 (Numbered 101-200),0.0000,0.0000,0.00
060,114SCANSTICK50,Scan Sticker 4.5” Target - Pack of 50 (Numbered 101-150),0.0000,0.0000,0.00
060,115-192005,Pacific Crest PDL 4535 25W Base Radio blue**,0.0000,0.0000,0.00
060,115-192061,AERIAL TRIPOD CLAMP**,0.0000,0.0000,0.00
060,115-192064,Pacific Crest PDL Base To Leica Cable A00454,0.0000,0.0000,0.00
060,115-192065,Pacific Crest Program Cable A00470 ->PC83486**,0.0000,0.0000,0.00
060,115-192075,Pacific Crest Power Cable/SAE-Pig-Tail A00400 **,0.0000,0.0000,0.00
060,115-192111,Pacific Crest Program Cable for GFU6 A00975,0.0000,0.0000,0.00
060,11R5-BALL,Wall Station Adapter with Brass Ball Point for SSP-40,0.0000,0.0000,0.00
060,1200132,Apple iPad Mini 32GB WiFi,0.0000,0.0000,0.00
060,12017,Pentax K-5 II DSLR Body Only**,0.0000,0.0000,0.00
060,129274,Sony XQD G-Series E 256GB 400mb/s Memory Card **,0.0000,0.0000,0.00
060,12PCBL,Intuicom Cable to Program Intuicom Spread Spectrum Radio with GFU15 Housing **,0.0000,0.0000,0.00
060,12SB12P-F2,DS2000 12V 12A Battery,0.0000,0.0000,0.00
060,12VDCCON,CONVERTER POWER 24VAC - 12V,0.0000,0.0000,0.00
060,12X0964K01,Tokina atx-i 11-16mm f/2.8 CF Lens for Canon **,0.0000,0.0000,0.00
060,1367208,HEX BALL SCREWDRIVER 2.5 x 75 mm **,0.0000,0.0000,0.00
060,14118,Pentax Optio VS20 - Black**,0.0000,0.0000,0.00
060,14220000090,KIT TRNSDCR PRESS 0-250PSI SS,0.0000,0.0000,0.00
060,14637,Pentax K-r DSLR + Pentax DAL 18-55mm Lens **,0.0000,0.0000,0.00
060,15072100L,CRK EXC SCREEN MOUNT,0.0000,0.0000,0.00
060,1510001,"Pillar Plate Stainless Steel with with 5/8"" Thread & Rebar Pins",0.0000,0.0000,0.00
060,152SCANSTICK50,Scan Sticker 6” Target - Pack of 50 (Numbered 101-150),0.0000,0.0000,0.00
060,15CF-AA6373A,Panasonic AC Adapter for CF-H2 & S10 Toughbook,0.0000,0.0000,0.00
060,15CF-VNT003,Stylus Tether Strap White,0.0000,0.0000,0.00
060,15CF-VZSU0QW,Panasonic Battery for CF-20,0.0000,0.0000,0.00
060,15CF-VZSU48U,Panasonic Li-Ion Battery for CF-19,0.0000,0.0000,0.00
060,15EKB12V2,"EVERKI EVA z12"" HARD CASE & BATTERY",0.0000,0.0000,0.00
060,15EKEVA12,EVERKI 11.6 Hard Case for Panasonic FZ-G1,0.0000,0.0000,0.00
060,15EKF842,EVERKI 11.7 EVA HARD CASE,0.0000,0.0000,0.00
060,15EKP121,"EVERKI 13-17.3"" Atlas Checkpoint",0.0000,0.0000,0.00
060,162051,Ricoh G800SE Digital Camera with Wi-Fi and Bluetooth,0.0000,0.0000,0.00
060,162103,Ricoh G900 Digital Camera,0.0000,0.0000,0.00
060,162103D,"Ricoh G900 Digital Camera ""DEMO""",0.0000,0.0000,0.00
060,162107,Ricoh G900SE Digital Camera with Wi-Fi & Bluetooth,0.0000,0.0000,0.00
060,16244K,Pentax K-70 Body (Black) with DA 18-135mm f/3.5-5.6 WR Lens,0.0000,0.0000,0.00
060,16257,Pentax K-70 DSLR Camera (Black) with DA 18-135mm f/3.5-5.6 WR Lens **,0.0000,0.0000,0.00
060,16443,Pentax Optio W90 Camera - Orange**,0.0000,0.0000,0.00
060,16828,PENTAX OPTIO RZ10 CAMERA WHI**,0.0000,0.0000,0.00
060,16928,PENTAX OPTIO WG-1 CAM BLACK **,0.0000,0.0000,0.00
060,172690,Ricoh CA-1 Cable Release for GR / GX / CX / GXR **,0.0000,0.0000,0.00
060,175747,Ricoh GR Camera **,0.0000,0.0000,0.00
060,17733,Pentax Optio W80 Camera - Grey**,0.0000,0.0000,0.00
060,180-003803,Dallmeier DLC - ViProxy DMS 2400 DVS 2500,0.0000,0.0000,0.00
060,180-004412CE,Dallmeier DLC - 3rd Party Package for 1 IP Channel - Coles Express special,0.0000,0.0000,0.00
060,180-004413CE,Dallmeier DLC - 3rd Party Package for 2 IP Channel - Coles Express,0.0000,0.0000,0.00
060,2.109.02.00015,"Vivax Metrotech D34-C Guide Skid, 100 mm",0.0000,0.0000,0.00
060,2.109.10.00004,"D46-HD Guide Skid, 5 inch",0.0000,0.0000,0.00
060,2.110.01.00023,Charger for Li-Ion Battery Tray Loc3,0.0000,0.0000,0.00
060,2.110.03.00003,D26-MX Standard Skid,1.0000,0.0000,1.00
060,2.110.03.00004,"D26-MX Guide Skid, 57mm",0.0000,0.0000,0.00
060,2.203.03.00004,Vivax Metrotech D23 512Hz Flex-Sonde,0.0000,0.0000,0.00
060,2.203.04.00002,Vivax Metrotech D23 640Hz Flex-Sonde,0.0000,0.0000,0.00
060,2.203.05.00003,Vivax Metrotech D18 Sonde w/ M10 Stud End Cap (Knurled) 18.5mm x 92mm,0.0000,0.0000,0.00
060,2.204.01.00066,Vivax Metrotech vLoc2 Battery Charger vScan and VM-550FF,0.0000,0.0000,0.00
060,2.204.01.00091,Vivax Metrotech vLoc2 Blue Tooth Module,0.0000,0.0000,0.00
060,2.205.01.00018,"Direct Connection Lead, vLoc & VM Series with Standard Clips (3 pin male plug)",0.0000,0.0000,0.00
060,2.207.01.00091,"Vivax Metrotech Rx Rechargeable Battery, vLoc & vScan Series",0.0000,0.0000,0.00
060,2.207.01.00099,Vivax Metrotech vLoc3 Pro Receiver Alkaline Battery Holder,0.0000,0.0000,0.00
060,2.219.01.00018,"Vivax Bag, vLoc3 Series",0.0000,0.0000,0.00
060,2.219.01.00035,Vivax Metrotech Vehicle Charging DC Lead,1.0000,0.0000,1.00
060,2.219.01.00036,Vivax Metrotech vLoc3 Blue Tooth Module,2.0000,0.0000,2.00
060,2.219.01.00043,VIVAX Battery Charger vLoc3 series receivers,0.0000,0.0000,0.00
060,2.219.02.00011,Vivax Metrotech Bag Loc3 Series Transmitters,0.0000,0.0000,0.00
060,2.219.02.00024,Rechargeable Battery Tray Loc3 Li-Ion,0.0000,0.0000,0.00
060,2.219.02.00095,"Old Transmitter to New 5"" Clamp adapter",2.0000,0.0000,2.00
060,2.222.02.00011,Vivax Metrotech Backpack Loc3 Series Tx,0.0000,0.0000,0.00
060,200-191-025-B,Vivax Metrotech Loc 10-Tx Rechargeable Battery Kit incl. Battery & Charger,0.0000,0.0000,0.00
060,2001747,Ilford Galerie Prestige Smooth Pearl 310gsm A4 100 Sheets GPSPP,0.0000,0.0000,0.00
060,2001750,Ilford Galerie Prestige Smooth Pearl 310gsm A3+ 25 Sheets GPSPP,0.0000,0.0000,0.00
060,2001755,Ilford Galerie Prestige Smooth Pearl 310gsm A2 25 Sheets GPSPP,0.0000,0.0000,0.00
060,20070,BUFFER SOLUTION 250ML PH7,0.0000,0.0000,0.00
060,200700,Nedo Carbon Line Tripod for RTC360 / BLK360 Laser Scanners,0.0000,0.0000,0.00
060,202-8,Senshin SK202 8m Fibreglass Measuring Pole,0.0000,0.0000,0.00
060,2072-30 SS ADAPT,"Adapter SS Monument 1.5"" Pipe **",0.0000,0.0000,0.00
060,2093909,EZU ITEMS PREIRUS KE14373909,0.0000,0.0000,0.00
060,2100364,41600-179 CYLINDER 32MM X 50MM,0.0000,0.0000,0.00
060,210680,"Nedo Heavy-Duty Elevating Tripod 0.85m-3.02m, range 600/590 mm",0.0000,0.0000,0.00
060,210710,Nedo Shaft Tripod + 4 x 1m Poles + Dolly + HDS Adapter Package,0.0000,0.0000,0.00
060,210710FARO,Nedo Shaft Tripod + Dolly + HDS Faro Adapter PACKAGE,0.0000,0.0000,0.00
060,210710T,Nedo Shaft Tripod - Includes 4 x 1m Poles,0.0000,0.0000,0.00
060,211-0099515,VERTICAL INSERTION PACKAGE FOR CMS V500,0.0000,0.0000,0.00
060,211-0099550,USE 530146-V500 **,0.0000,0.0000,0.00
060,211-0105163B,CMS V500 bottom access cart c/w 10 x 1.6m extension rods c/w carry bags,0.0000,0.0000,0.00
060,21277,Pentax HD DA 55-300mm f/4.5-6.3 ED PLM WR RE Lens,0.0000,0.0000,0.00
060,2130062588,CMS POWER MODULE V400,0.0000,0.0000,0.00
060,2131999,Zeiss Loxia 21mm f/2.8 Lens for Sony E-Mount,0.0000,0.0000,0.00
060,21510,Pentax DA 14mm f/2.8 ED IF Lens **,0.0000,0.0000,0.00
060,21580,Pentax DA 10-17mm f/3.5-4.5 Fisheye Lens **,0.0000,0.0000,0.00
060,2180020349,CMS WINDOW ASSEMBLY,0.0000,0.0000,0.00
060,2180027251-RB,CMS SYMBOL PDA,0.0000,0.0000,0.00
060,2180063122,CMS BATTERY CHARGER FOR V400,0.0000,0.0000,0.00
060,21870,Pentax-DA 50-200mm f/4-5.6 ED WR Lens ***,0.0000,0.0000,0.00
060,21977,Pentax DA 18-135mm f/3.5-5.6 WR Lens,0.0000,0.0000,0.00
060,2200023853,CMS CABLE YELLOW 14M OLD **,0.0000,0.0000,0.00
060,2200027250,CMS CABLE YELLOW 14M FOR WCMS,0.0000,0.0000,0.00
060,22MK400H,"LGE Monitor 22"" VGA HDMI Full HD **",0.0000,0.0000,0.00
060,23130,Pentax HD DA 10-17mm f/3.5-4.5 ED Fisheye Lens,0.0000,0.0000,0.00
060,23183505,Dy-Mark Landscape Chalk 350g - Yellow,0.0000,0.0000,0.00
060,28LY330C,LGE MONITOR 28 LED *Survey*,0.0000,0.0000,0.00
060,3.01.16.000022,Vivax MX Vcam Rechargeable Battery Pack,0.0000,0.0000,0.00
060,3.01.17.000027,Vivax Metrotech 12V Car Charger for the Li-ion battery tray,1.0000,0.0000,1.00
060,3.02.01.000980,Vivax Metrotech Ground Stake vLoc and VM Series,0.0000,0.0000,0.00
060,3.02.10.000061,Vivax Type-CP Standard Reel Drip Bag,0.0000,0.0000,0.00
060,300001M,1.0m Cable Assembly **,0.0000,0.0000,0.00
060,300005DB,OMNI Fibreglass Antenna 5DB,0.0000,0.0000,0.00
060,30000BRACK,Stainless Steel Bracket for Omni Antenna,0.0000,0.0000,0.00
060,300500,GPS Radio Aerial Bracket,0.0000,0.0000,0.00
060,3005005M,5.0m Extension Cable,0.0000,0.0000,0.00
060,3005006DB,ELEV FEED WHIP ANTENNA 6DB,0.0000,0.0000,0.00
060,300500TOP,TOP SECTION 6DB ANTENNA,0.0000,0.0000,0.00
060,300501,GPS AERIAL RIGHT-ANGLE MOUNT,0.0000,0.0000,0.00
060,3013742,Hasselblad H6D-100c Medium Format Camera (Body Only) **,0.0000,0.0000,0.00
060,3023100,Hasselblad HC 100mm f/2.2 Lens,0.0000,0.0000,0.00
060,30239,Pentax CS-310 Cable Switch for K-P / K-70,0.0000,0.0000,0.00
060,3026050,Hasselblad HC 50mm f/3.5 II Lens,0.0000,0.0000,0.00
060,3026080,Hasselblad HC 80mm f/2.8 Lens,0.0000,0.0000,0.00
060,30458,Pentax AF-201FG Flash with Case,0.0000,0.0000,0.00
060,3204070002,CHCNAV USB Dongle for Copre Alpha Air 450,4.0000,0.0000,4.00
060,3320739,AERO ZOOM 20 - BLACK/GREY **,0.0000,0.0000,0.00
060,3320859,AERO ZOOM 20 - BROWN/TAN,0.0000,0.0000,0.00
060,3446010,RALLY 6 CAM BAG - BLACK,0.0000,0.0000,0.00
060,3446720,RALLY 6 CAM BAG - BLACK/RED,0.0000,0.0000,0.00
060,37044,Ricoh WG O-OCM 1535 Magnet Mount,0.0000,0.0000,0.00
060,37377,Pentax Remote Control F **,0.0000,0.0000,0.00
060,3803016X,NEO'S DIGITAL 3 BAG - BLACK **,0.0000,0.0000,0.00
060,3806,Ricoh WG-M2 Rugged 4K Action Camera (Orange)**,0.0000,0.0000,0.00
060,3844,Ricoh WG-6 20MP Camera Kit - Black,0.0000,0.0000,0.00
060,39581,Pentax D-LI50 Li-Ion Battery for K10D **,0.0000,0.0000,0.00
060,39774,Pentax D-LI88 Battery for Optio P70**,0.0000,0.0000,0.00
060,3D READY JT,MCP80 3D READY KIT,0.0000,0.0000,0.00
060,3D UPGR EXC ICON,Leica 3D Upgrade Kit for Excavator ICON3D **,0.0000,0.0000,0.00
060,3D UPGR EXC MC1,Leica 3D Upgrade Kit for Excavator MC1 **,0.0000,0.0000,0.00
060,3M TAPE RED,50mm x 45m RED TAPE,0.0000,0.0000,0.00
060,3M TAPE WTE,50mm x 45m WHITE TAPE,0.0000,0.0000,0.00
060,4.02.000066,Vivax Metrotech Wheeled Bag vLoc Series,0.0000,0.0000,0.00
060,403-0100087,Optech Tripod Adaptor Mount,0.0000,0.0000,0.00
060,405-0099539,CMS V500 BATTERY CAP COMPLETE,0.0000,0.0000,0.00
060,405-0100087,Optech Tripod Adaptor Mount ** Use: 403-0100087 **,0.0000,0.0000,0.00
060,405-0104598,CMS V500 bottom access cart c/w 10 x 1.5m extension rods c/w carry bags,0.0000,0.0000,0.00
060,410-0062625,CMS CABLE YELLOW 15M FOR V400,0.0000,0.0000,0.00
060,4201927,Sigma 10-20mm f/4-5.6 EX DC HSM for Canon**,0.0000,0.0000,0.00
060,4201960,Sigma 10-20mm f/4-5.6 Ex DC for Pentax**,0.0000,0.0000,0.00
060,4202954,Sigma 10-20mm f/3.5 Ex DC HSM Lens for Canon **,0.0000,0.0000,0.00
060,437-640S95018-6R,FLIR VUE TZ20-R Thermal Camera with 20X Zoom for DJI Matrice 200 / 300 RTK,0.0000,0.0000,0.00
060,4509945,Sigma 70-300mm f/4-5.6 DG Macro Lens for Pentax**,0.0000,0.0000,0.00
060,46-2090-14,Adaptor for Prism Pole 5/8” male thread universally adjustable,0.0000,0.0000,0.00
060,46125-20-SUR,CABLE - POWER 3M / 10 FT LMO TO BATTERY CLIPS **,0.0000,0.0000,0.00
060,4700999,Magnetic Rail Shoe with Leica Spigot,0.0000,0.0000,0.00
060,4701005,Magnetic Track shoe - Leica Spigot,0.0000,0.0000,0.00
060,4737955,Sigma 150-500mm f/5-6.3 APO DG OS for Nikon**,0.0000,0.0000,0.00
060,4745954,Sigma 150-600mm f/5-6.3 DG OS Contemporary Lens for Canon,0.0000,0.0000,0.00
060,4SCIGHT TRAINING,4SCIGHT TRAINING,0.0000,0.0000,0.00
060,5-8-LT,40mm Leica Spigot,0.0000,0.0000,0.00
060,500-00026,Otterbox Case For Spike Tablet,0.0000,0.0000,0.00
060,500622,Dimetix DLS-C15 Industrial Laser Distance Meter - 150m **,0.0000,0.0000,0.00
060,50210CTN,Polytec Pegs 210x50x50mm - White (Box of 150) SSDW,0.0000,0.0000,0.00
060,50210CTNG,Polytec Pegs 210x50x50mm - Green (Box of 150) SSDA,0.0000,0.0000,0.00
060,50210CTNO,Polytec Pegs 210x50x50mm - Orange (Box of 150) SSDO,0.0000,0.0000,0.00
060,50210CTNY,Polytec Pegs 210x50x50mm - Yellow (Box of 150) SSDY,0.0000,0.0000,0.00
060,50350CTN,Polytec Pegs 350x50x50mm - White (Box of 100) SSSW,0.0000,0.0000,0.00
060,5100099399,CMS V500 BATTERY CHARGER,0.0000,0.0000,0.00
060,516000002,CMS BOOM SECTION B,0.0000,0.0000,0.00
060,516000003,CMS BOOM SECTION C,0.0000,0.0000,0.00
060,516000004,CMS BOOM SECTION D,0.0000,0.0000,0.00
060,516000005,CMS BOOM SECTION E,0.0000,0.0000,0.00
060,516000006,CMS BOOM SECTION A,0.0000,0.0000,0.00
060,516000200,CMS BOOM LATCHES **,0.0000,0.0000,0.00
060,516000204,CMS TARGET SMALL FRONT,0.0000,0.0000,0.00
060,516000205,CMS TARGET LARGE REAR,0.0000,0.0000,0.00
060,5160100247,Optech CMS Target - 60mm Tilting Reflector,0.0000,0.0000,0.00
060,5160100248,CMS Quick Release Adaptor,0.0000,0.0000,0.00
060,519011,A11-8011 Tripod Star **,0.0000,0.0000,0.00
060,519026,RA Aluminium Tripod Flat Head Screw Lock (Orange) **,0.0000,0.0000,0.00
060,519027,RA DOME TRIPOD AL SCREW LOCK**,0.0000,0.0000,0.00
060,519036,ELV-COVER for Elevating Tripod **,0.0000,0.0000,0.00
060,519042,CST 60WDF20X WD/ FIB GLS HD **,0.0000,0.0000,0.00
060,519043,CST 60WDF20 WD/FIB GLS TRIPO**,0.0000,0.0000,0.00
060,519060,SB8 DIAGONAL EYEPIECE-PTS **,0.0000,0.0000,0.00
060,519080,A11-8020 Tripod Bag,0.0000,0.0000,0.00
060,519090,Geo-Fennel M10 Measuring Wheel with Bag - 1m Circumference,0.0000,0.0000,0.00
060,519092,Geo-Fennel LR7 Staff Bubble - Detachable,1.0000,0.0000,1.00
060,519097,Geo-Fennel LR39 Staff Bubble Plastic,0.0000,0.0000,0.00
